Event_Name,Frequency,Percentage
visitor_info,1,0.01%
gtm_cookie_consent_update,1,0.01%
Tijd_Event,1,0.01%
easyLoad,1,0.01%
localStorageDone,1,0.01%
global_information,1,0.01%
initialMeta,1,0.01%
addConsent,1,0.01%
ec.event,1,0.01%
ScrollTiming,1,0.01%
RivetedTiming,1,0.01%
currentWishlist,1,0.01%
eec.view_item_list,1,0.01%
page_load_ready,1,0.01%
InitGoogleConsentMode,1,0.01%
CookieConsentInitialize,1,0.01%
cookieconsent_necessary,1,0.01%
cookieconsent_statistics,1,0.01%
cookieconsent_functional_opt_out,1,0.01%
cookieconsent_marketing,1,0.01%
CookieConsentUpdate,1,0.01%
dataLayerStatus,1,0.01%
user,1,0.01%
website_version,1,0.01%
gaads_tag_loaded,1,0.01%
awin_base_tag_loaded,1,0.01%
ga4_tag_loaded,1,0.01%
ms_uet_base_tag_loaded,1,0.01%
bloomreach_base_tag_loaded,1,0.01%
rtb_base_tag_loaded,1,0.01%
insider_base_tag_loaded,1,0.01%
cookie_consent,1,0.01%
empty_cart,1,0.01%
axeptio_disable_zendesk,1,0.01%
axeptio_disable_gmaps,1,0.01%
axeptio_disable_matomo,1,0.01%
axeptio_disable_snapchat,1,0.01%
axeptio_disable_google_conversion_linker,1,0.01%
axeptio_disable_google_remarketing,1,0.01%
axeptio_disable_clarity,1,0.01%
axeptio_disable_typeform,1,0.01%
axeptio_disable_Elfsight,1,0.01%
axeptio_disable_Matomo,1,0.01%
axeptio_disable_Snapchat,1,0.01%
axeptio_disable_Google_Conversion_Linker,1,0.01%
axeptio_disable_GoogleRemarketing,1,0.01%
axeptio_disable_TypeForm,1,0.01%
visit_data,1,0.01%
pin_all,1,0.01%
retailAds_start,1,0.01%
doRemarketing,1,0.01%
default_consent_set,1,0.01%
update_consent_set,1,0.01%
cookie_popup_shown,1,0.01%
bt.afterInit,1,0.01%
bt.callback,1,0.01%
workspace_accessed,1,0.01%
cookies_set,1,0.01%
globale-popup-welcome,1,0.01%
isSearchPage,1,0.01%
facebookPageView,1,0.01%
fastr,1,0.01%
sqzly_cart_content,1,0.01%
loadUserData,1,0.01%
loadPageData,1,0.01%
cart_load,1,0.01%
geo,1,0.01%
flocktory,1,0.01%
consentBanner,1,0.01%
customerData,1,0.01%
axeptio_activate_google_conversion_linker,1,0.01%
axeptio_enable_google_conversion_linker,1,0.01%
axeptio_activate_meta,1,0.01%
axeptio_enable_meta,1,0.01%
axeptio_activate_tiktok,1,0.01%
axeptio_enable_tiktok,1,0.01%
axeptio_activate_Google_Conversion_Linker,1,0.01%
axeptio_enable_Google_Conversion_Linker,1,0.01%
axeptio_activate_TikTok,1,0.01%
axeptio_enable_TikTok,1,0.01%
qvisit,1,0.01%
timer_8seconds,1,0.01%
opt.home,1,0.01%
banner_view,1,0.01%
gsc.show,1,0.01%
pageViewFB,1,0.01%
ipAddress,1,0.01%
hashedDetails,1,0.01%
pdpCheck,1,0.01%
productDetailFB,1,0.01%
user_status,1,0.01%
carouselLoaded,1,0.01%
adwords_dynamic_remarketing,1,0.01%
nievent,1,0.01%
custom_didomi_update,1,0.01%
paEntry,1,0.01%
ajaxCustomerData,1,0.01%
eec.pageview,1,0.01%
SetUp,1,0.01%
amplitude_loaded,1,0.01%
hockeystack_loaded,1,0.01%
defaultData,1,0.01%
preload_data,1,0.01%
tcConsentChanged,1,0.01%
subscribe_view,1,0.01%
MiniCartLoad,1,0.01%
HomePageView,1,0.01%
page_view_mc,1,0.01%
gtm.formSubmit,1,0.01%
home_page_visit,1,0.01%
cookiehub_click_allow_all,1,0.01%
cookiehub_modified,1,0.01%
abTest,1,0.01%
PV,1,0.01%
add_to_queue_analytics,1,0.01%
view_start_page,1,0.01%
trlib_TLloaded,1,0.01%
trlib_CONSENTready,1,0.01%
vPageview,1,0.01%
ePageview,1,0.01%
trlib_DOMready,1,0.01%
dy_variation_impression,1,0.01%
contactRequest,1,0.01%
facebook_event_id_manual_setup,1,0.01%
er_eval,1,0.01%
e_dataLayerReady,1,0.01%
e_webvitals,1,0.01%
e_shadowDomClick,1,0.01%
gtm_batch_promo_impressions,1,0.01%
eec.productImpression,1,0.01%
fitit_button_view_item,1,0.01%
fitit_size_table_button_view_item,1,0.01%
moe_sdk_loaded,1,0.01%
eventTracker,1,0.01%
moe_page_view,1,0.01%
moe_plp_view,1,0.01%
slider_view,1,0.01%
cookie_consent_accepted,1,0.01%
motoView,1,0.01%
customer,1,0.01%
verify_isPDP,1,0.01%
ScrollPage,1,0.01%
cookie_acceptance,1,0.01%
category_navigation,1,0.01%
category_viewed,1,0.01%
globalVariables,1,0.01%
nuxtRoute,1,0.01%
nuxtAfterRender,1,0.01%
recommendation_widget,1,0.01%
random_first,1,0.01%
ipmeta_loaded,1,0.01%
promotionViewed,1,0.01%
custom.session.start,1,0.01%
view_esw_popup,1,0.01%
dl_head,1,0.01%
Viewed https://www.photoweb.fr/objet-personnalise Page,1,0.01%
Product List Viewed,1,0.01%
wp_page_view,1,0.01%
dl_internal_link,1,0.01%
InitializeKlaviyo,1,0.01%
iubenda_banner_closed,1,0.01%
custom_impressions,1,0.01%
apisearch_result_items,1,0.01%
general_params,1,0.01%
bot_detected,1,0.01%
botDetected,1,0.01%
legacy:productImpression,1,0.01%
shopify-consent-update,1,0.01%
custom_scroll,1,0.01%
cby.impression,1,0.01%
synerise_group,1,0.01%
minicartView,1,0.01%
visitorInfo,1,0.01%
eec_productDetail,1,0.01%
view_homepage,1,0.01%
10s,1,0.01%
Scala Event - Product,1,0.01%
ql_event,1,0.01%
OI_VISITOR_ID,1,0.01%
jsJqueryLoaded,1,0.01%
productDetailSwatchClicked,1,0.01%
productDetailSwatchSelected,1,0.01%
view_home_page,1,0.01%
webVitalsMeasurement,1,0.01%
custom_tiempo_menu,1,0.01%
gtm.userInfo,1,0.01%
gtm.productTileView,1,0.01%
pageData,1,0.01%
ZA_Campaigns,1,0.01%
sncc.initialise,1,0.01%
cmp.track,1,0.01%
sncc.update,1,0.01%
set_user,1,0.01%
consent_permissions_changed,1,0.01%
shelfList,1,0.01%
ec::view_item_list,1,0.01%
product,1,0.01%
tagRocketPintrkCommandPending,1,0.01%
tagRocketPintrkCommandSent,1,0.01%
tagRocketFbqCommandPending,1,0.01%
tagRocketFbqCommandSent,1,0.01%
tagRocketGtagCommandPending,1,0.01%
tagRocketGtagCommandSent,1,0.01%
tagRocketUetCommandPending,1,0.01%
tagRocketUetCommandSent,1,0.01%
tagRocketProductDataGathered,1,0.01%
tagRocketGetValue,1,0.01%
Page View,1,0.01%
statsig_config_loaded,1,0.01%
checkConsentFromOnetrust,1,0.01%
tealium_home_page,1,0.01%
eventIDGenerated,1,0.01%
Google_Consent : default,1,0.01%
digitaldataload,1,0.01%
Email and ID Event,1,0.01%
fw_embed_feed_thumbnail_load,1,0.01%
fw_embed_feed_impression,1,0.01%
fw_embed_feed_thumbnail_click,1,0.01%
fw_video_interactable_engaged_view,1,0.01%
consent_granted,1,0.01%
dynRmktParamsReady,1,0.01%
metaData,1,0.01%
sourcesStoreLoaded,1,0.01%
convert-trigger-experience-1004153661,1,0.01%
dimensionsWritten,1,0.01%
viewing_page,1,0.01%
cookie allow necessary,1,0.01%
virtualPagePath,1,0.01%
x-cache,1,0.01%
visitor,1,0.01%
axeptio_disable_SendinBlue,1,0.01%
axeptio_disable_sendinblue,1,0.01%
page_type_home,1,0.01%
fbcapievent,1,0.01%
productListing,1,0.01%
footerLoaded,1,0.01%
productList,1,0.01%
pageview with consent,1,0.01%
LocationRedirectPopupOpened,1,0.01%
change:slide,1,0.01%
home_slider,1,0.01%
UserNotLogin,1,0.01%
convert-trigger-experience-100254025,1,0.01%
ga-event,1,0.01%
collection,1,0.01%
gtm4wp.productImpressionEEC,1,0.01%
mappint_lib_ready,1,0.01%
mappint_ConsentReady,1,0.01%
basketUpdated,1,0.01%
page.user,1,0.01%
gaConfigFlag,1,0.01%
ecommerce:page,1,0.01%
uutmz,1,0.01%
marqoPixelReady,1,0.01%
ga_cid_ready,1,0.01%
Viewed Universal Audio | Audio Interfaces | UAD Plug-Ins Page,1,0.01%
Consent Preference Updated,1,0.01%
Session Started,1,0.01%
tenSecondsPassed,1,0.01%
checkcomplete,1,0.01%
impressionsGA4,1,0.01%
modalImpression,1,0.01%
changeProductImage,1,0.01%
CounterCookieUpdated,1,0.01%
td_impressionParse,1,0.01%
UV100_pageView,1,0.01%
check_impressions,1,0.01%
bwReady,1,0.01%
bw,1,0.01%
bebit,1,0.01%
promo-impression,1,0.01%
first_visit,1,0.01%
session_start,1,0.01%
view_content_list,1,0.01%
form_submit,1,0.01%
ux_scroll,1,0.01%
iframeDetection,1,0.01%
global_settings,1,0.01%
ec:impressions,1,0.01%
genericEvent,1,0.01%
cookieInteraction,1,0.01%
consent_preferences_ga4,1,0.01%
hash_checker,1,0.01%
convert-trigger-experiment-100413881,1,0.01%
initial_page_info,1,0.01%
evUTMParse,1,0.01%
productosensearchhome,1,0.01%
productosensearchother,1,0.01%
promo storage updated,1,0.01%
intelligems_test_gtm,1,0.01%
targeting],1,0.01%
ws_pageview,1,0.01%
setDocumentReferrer,1,0.01%
setLocalTime,1,0.01%
sessionLogicComplete,1,0.01%
announcement_bar_impression,1,0.01%
trackerReady,1,0.01%
facebookTrackerReady,1,0.01%
ipReturned,1,0.01%
web_OnboardingConfirm18_open,1,0.01%
view_promotion_for_new_users,1,0.01%
pageViewEvent,1,0.01%
trackEvent-customerJourney-product,1,0.01%
wknd_product_exclusion,1,0.01%
global_variables,1,0.01%
avacy_consent_update,1,0.01%
staging_page_viewed,1,0.01%
gar_page_view,1,0.01%
sp_event,1,0.01%
crossdomain_popup,1,0.01%
optanonConsentUpdated,1,0.01%
entaice_cat,1,0.01%
application_loaded,1,0.01%
pageEvent,1,0.01%
loadEvent,1,0.01%
systemEvent,1,0.01%
iubenda_consent_update,1,0.01%
sirdataNoConsent,1,0.01%
gtm_consent_update,1,0.01%
crm-form,1,0.01%
VirtualPageview,1,0.01%
navigation_engagement,1,0.01%
load_page,1,0.01%
maestro_video,1,0.01%
Onsite campaign shown,1,0.01%
convert-trigger-experiment-100327364,1,0.01%
convert-trigger-experiment-100340388,1,0.01%
convert-trigger-experiment-100343070,1,0.01%
SomeWebimEvent,1,0.01%
4p_page_view,1,0.01%
proteus_experiment_initialization,1,0.01%
proteus_experiment_pageview,1,0.01%
page_view_NM,1,0.01%
utm_persist,1,0.01%
OnlineChat_Automessage_shown,1,0.01%
Home page,1,0.01%
ecommerceEvent,1,0.01%
gtm_assistant_loaded,1,0.01%
admetrics_intent_1s,1,0.01%
ShoeAI Config,1,0.01%
ssm_init,1,0.01%
ssm_loaded_plugin,1,0.01%
ssm_initializeCookie,1,0.01%
SFrame Event Dimension,1,0.01%
SFrame User Dimension,1,0.01%
ssm_checkAddToCart,1,0.01%
ssm_config,1,0.01%
ssm_css,1,0.01%
ssm_addCookieItem,1,0.01%
listingView,1,0.01%
ee-productDetail,1,0.01%
ET_CMP_UPDATE,1,0.01%
geolocationDataReady,1,0.01%
im-ready,1,0.01%
set_ip2cinfo,1,0.01%
docodoco,1,0.01%
page_routing,1,0.01%
GDPRStatisticsAccepted,1,0.01%
GDPRMarketingAccepted,1,0.01%
roktInitialisationComplete,1,0.01%
Cookie Preferences Saved,1,0.01%
bl_event,1,0.01%
analyzify_cookie_status,1,0.01%
update_GCM,1,0.01%
autoEvent test,1,0.01%
ecom_interaction,1,0.01%
dl_view_item_list,1,0.01%
cmp_updated,1,0.01%
cmp_vp,1,0.01%
sessionStarted,1,0.01%
page_loads,1,0.01%
product list refreshed,1,0.01%
product list loaded,1,0.01%
navigation,1,0.01%
promotionImpressions,1,0.01%
ecommEvent,1,0.01%
acn_gtm_init,1,0.01%
productDetailView,1,0.01%
populateTemplateType,1,0.01%
crto_productpage,1,0.01%
registration_data,1,0.01%
cid_ready,1,0.01%
event,1,0.01%
ym_cid_ready,1,0.01%
window_fully_loaded,1,0.01%
AvitoPageview,1,0.01%
AvitoEvent,1,0.01%
Criteo.Data.Trigger,1,0.01%
concent_initializing,1,0.01%
concent_updating,1,0.01%
convert-trigger-experience-1004152160,1,0.01%
page_data,1,0.01%
page_view_aw,1,0.01%
view_item2,1,0.01%
Set products listed,1,0.01%
Category,1,0.01%
bbTrack,1,0.01%
Scroll-2page,1,0.01%
Prof. Scroll25,1,0.01%
Prof. Scroll40,1,0.01%
Prof. Scroll50,1,0.01%
cf_consent_microsoft__clarity,1,0.01%
cf_consent_facebook,1,0.01%
cf_consent_bing_ads,1,0.01%
cf_consent_google_analytics,1,0.01%
fireRemarketingTag_category,1,0.01%
tagRocketJavaScriptError,1,0.01%
bc_consent_update,1,0.01%
tagRocketConsentChanged,1,0.01%
ga4kit_info,1,0.01%
afterLoad_consent,1,0.01%
d_remark,1,0.01%
init_datalayer,1,0.01%
wcc_cookie_consent_update,1,0.01%
view_item-GTM,1,0.01%
info,1,0.01%
state_details,1,0.01%
convert-trigger-experience-1004161895,1,0.01%
user_information,1,0.01%
userId,1,0.01%
okendo_homepage_carousel_on_screen_timer,1,0.01%
IsoCountry init,1,0.01%
visibilityChange,1,0.01%
elementVisibility,1,0.01%
CookieScriptConsentUpdated[functionality,1,0.01%
eci_drc_trigger,1,0.01%
axeptio_activate_segment,1,0.01%
axeptio_enable_segment,1,0.01%
axeptio_activate_hotjar,1,0.01%
axeptio_enable_hotjar,1,0.01%
axeptio_activate_linkedin,1,0.01%
axeptio_enable_linkedin,1,0.01%
axeptio_activate_appvizer,1,0.01%
axeptio_enable_appvizer,1,0.01%
axeptio_activate_Identifie les visiteurs du réseau Gartner,1,0.01%
axeptio_enable_Identifie les visiteurs du réseau Gartner,1,0.01%
axeptio_activate_outil,1,0.01%
axeptio_enable_outil,1,0.01%
axeptio_activate_activecampaign,1,0.01%
axeptio_enable_activecampaign,1,0.01%
axeptio_activate_Linkedin,1,0.01%
axeptio_enable_Linkedin,1,0.01%
axeptio_activate_Appvizer,1,0.01%
axeptio_enable_Appvizer,1,0.01%
axeptio_activate_ActiveCampaign,1,0.01%
axeptio_enable_ActiveCampaign,1,0.01%
user_data_gtmeec,1,0.01%
view_form,1,0.01%
form_input,1,0.01%
Pageview,1,0.01%
vista_HomeOfertas,1,0.01%
vista_homeNuevosProductos,1,0.01%
dl_ga4_view_item_list,1,0.01%
remarketing,1,0.01%
clicked,1,0.01%
input_focused,1,0.01%
input_blurred,1,0.01%
mobapp,1,0.01%
